optimizer,direction_seed,epsilon,sign,loss,baseline_loss,delta_loss
muon,2031,0.1,-1,0.3240301813930273,0.3198715467005968,0.004158634692430496
muon,2032,0.001,1,0.31989138200879097,0.3198715467005968,1.983530819416046e-05
muon,2032,0.001,-1,0.31985044572502375,0.3198715467005968,-2.1100975573062897e-05
muon,2032,0.003,1,0.31993647292256355,0.3198715467005968,6.492622196674347e-05
muon,2032,0.003,-1,0.3197987237945199,0.3198715467005968,-7.282290607690811e-05
muon,2032,0.01,1,0.32028501108288765,0.3198715467005968,0.00041346438229084015
muon,2032,0.01,-1,0.3196626342833042,0.3198715467005968,-0.0002089124172925949
muon,2032,0.03,1,0.32155580539256334,0.3198715467005968,0.0016842586919665337
muon,2032,0.03,-1,0.32103181630373,0.3198715467005968,0.0011602696031332016
muon,2032,0.1,1,0.3207967560738325,0.3198715467005968,0.0009252093732357025
muon,2032,0.1,-1,0.3442048095166683,0.3198715467005968,0.02433326281607151
muon,2033,0.001,1,0.31988620571792126,0.3198715467005968,1.4659017324447632e-05
muon,2033,0.001,-1,0.31985526345670223,0.3198715467005968,-1.6283243894577026e-05
muon,2033,0.003,1,0.3199062179774046,0.3198715467005968,3.4671276807785034e-05
muon,2033,0.003,-1,0.319822633638978,0.3198715467005968,-4.891306161880493e-05
muon,2033,0.01,1,0.3199298260733485,0.3198715467005968,5.82793727517128e-05
muon,2033,0.01,-1,0.3197214128449559,0.3198715467005968,-0.00015013385564088821
muon,2033,0.03,1,0.3212575800716877,0.3198715467005968,0.001386033371090889
muon,2033,0.03,-1,0.319677853025496,0.3198715467005968,-0.00019369367510080338
muon,2033,0.1,1,0.3302934356033802,0.3198715467005968,0.010421888902783394
muon,2033,0.1,-1,0.32623019255697727,0.3198715467005968,0.006358645856380463
